Protein	NodeType	ReferencePathway	SigPeptide1	SigPeptide2	SigPeptide3	SigPeptide4	SigPeptide5	SigPeptide6	InsigPeptide1	InsigPeptide2	InsigPeptide3	InsigPeptide4	InsigPeptide5	InsigPeptide6	InsigPeptide7	InsigPeptide8	InsigPeptide9	InsigPeptide10	
CD2AP_HUMAN	InsigPrize	false							0, 1.561632, 1.07078, 0.865722, 0.724159, 0.413176, 0.13335, -0.257531									
CD2B2_HUMAN	Excluded	false							0, 0.501189, 0.520683, 0.540481, -0.121549, 0.279861, 0.262785, 0.032913									
CDC20_HUMAN	Excluded	false							0, 0.193871, -0.28444, -0.250059, -0.271837, -0.55, -0.311597, -0.257872									
CDCA3_HUMAN	Excluded	false	0, -0.050396, -0.164158, 0.119529, 0.130753, 0.19819, 0.118991, 0.162528															
CDCA5_HUMAN	Excluded	false							0, 0.286407, 0.06448, -0.001949, 0.229463, 0.660407, 0.348354, 0.384646									
CDK12_HUMAN	Excluded	false							0, 0.374662, 0.6602, 0.194416, 0.091383, 0.133243, 0.215953, 0.472979	0, -0.344499, -0.350773, -0.024199, -0.193184, -0.215753, -0.337492, -0.130371								
CDK13_HUMAN	Excluded	false							0, -0.401866, -0.196426, -0.431232, -0.508494, -0.577759, -0.606086, -0.395569									
CDK16_HUMAN	InsigPrize	false							0, -0.475202, -0.182157, -0.425877, -0.267993, -0.250895, -0.121107, 0.243955									
CDK1_HUMAN	SigPrize	false	0, -0.752148, -1.075466, -0.621273, -0.737781, -0.486348, -0.37922, -0.115742	0, -0.527312, -0.6474, -0.57327, -0.462434, -0.248943, -0.107803, 0.2091														
CDK5_HUMAN	SigPrize	false	0, -0.909084, -0.791565, -0.766914, -0.561503, -0.411034, -0.38777, -0.108423															
CDKL5_HUMAN	InsigPrize	false							0, -0.752913, -0.186554, -0.172785, -0.251102, -0.103641, 0.296657, -0.152958									
CDS2_HUMAN	Excluded	false							0, -0.559282, -0.272595, -0.400177, -0.028721, 0.021338, -0.216709, -0.155084									
CDV3_HUMAN	Excluded	false	0, 1.055422, 0.251546, 0.223076, 0.301732, 0.082174, -0.299006, -0.419932															
CEBPZ_HUMAN	InsigPrize	false							0, -0.407376, 0.208977, -0.372654, -0.188065, -0.499548, -0.144395, 0.086906	0, -0.154977, -1.062933, -0.095923, -0.60823, -0.696456, -0.14771, -0.278589								
CFDP1_HUMAN	SigPrize	false	0, -0.405289, -1.62542, -0.581289, -0.987911, -1.037911, -0.729246, -0.688617															
CG050_HUMAN	Excluded	false							0, -0.006465, 0.018534, 0.334274, -0.579639, -0.450888, -0.248575, -0.33118									
CH10_HUMAN	SigPrize	false	0, -0.636042, -0.619321, -0.85653, -0.739401, -0.437383, -0.337808, -0.205803															
CHAP1_HUMAN	InsigPrize	false							0, -0.189964, -0.85711, -0.045789, 0.14233, -0.284986, 0.051207, 0.162093	0, -0.433552, -0.231232, -0.558184, -0.334834, -0.267226, -0.035479, -0.218447	0, -0.491512, -0.435696, -0.526944, -0.085913, -0.220795, -0.20628, 0.094831							
CHD3_HUMAN	Excluded	false							0, -0.082556, -0.308976, -0.039715, -0.309039, 0.013462, -0.100348, 0.111745									
CHD4_HUMAN	SigPrize	false	0, -0.216473, -0.321917, -0.289587, -0.331951, -0.339751, -0.305516, 0.112465						0, -0.028173, 0.281296, 0.335384, -0.259326, 0.144619, 0.035261, 0.417856	0, -0.144871, -0.4374, -0.552661, -0.186961, -0.134657, -0.035605, -0.155572								
CHIP_HUMAN	Excluded	false							0, 0.467056, -0.228874, 0.601362, 0.065103, -0.464189, -0.447251, -0.396007									
CHM2B_HUMAN	Excluded	false							0, -0.161264, 0.028568, -0.113724, -0.228952, -0.297215, -0.143883, -0.143862									
CI078_HUMAN	Excluded	false							0, -0.001457, 0.349342, 0.083921, -0.37176, 0.031557, 0.054415, -0.010228									
CK052_HUMAN	Excluded	false							0, -0.098453, 0.051911, -0.359013, -0.23333, -0.264867, -0.359302, -0.382804									
CLAP1_HUMAN	SigPrize	false	0, -0.269089, -0.971249, -0.466715, -0.637676, -0.551884, -0.598924, -0.34547						0, -0.224926, 0.710116, 0.599344, 0.473849, 0.611819, 0.523484, 0.226886									
